airport,latitude,longitude
CMH,39.99705605,-82.89304061484347
SIT,57.047680549999995,-135.36319363134277
BIH,37.3728747,-118.36574944821254
AGS,33.37230205,-81.9650639098103
STS,38.51034965,-122.81483384944647
VPS,30.4954202,-86.549503
BPT,29.95237505,-94.0217808135379
GPT,22.3160874,113.93647839996052
DIK,46.80199425,-102.80051985071012
ACV,40.9763645,-124.10842589937442
EAR,40.726652200000004,-99.00166250001115
CGI,37.224715849999995,-89.56800317845975
AEX,31.329273649999998,-92.54095486627727
MSO,46.91686665,-114.08780053891442
DLG,59.0433568,-158.5112028
DRT,29.3725627,-100.92248322647487
CIU,46.2481556,-84.4691458
HGR,39.70883285,-77.7267563770384
AMA,-4.1015945,141.6703234132665
ATW,44.25659495,-88.52169598755702
BJI,47.5101068,-94.92982434625608
LWB,37.8586232,-80.39963715452262
ABR,45.446144000000004,-98.4206490345065
SAT,29.5334021,-98.46921443046924
SJT,31.35468635,-100.49862454938886
OGD,41.19456325,-112.01351962443881
JAC,43.6087926,-110.73803248494762
MVY,41.3923919,-70.61459568977313
LWS,46.37573125,-117.01550302887455
PSG,56.80197975,-132.94493105430846
AKN,58.6753166,-156.6493870251819
CLE,41.40645365,-81.85110103836394
SAF,35.61831735,-106.08783160779723
TBN,37.739739,-92.13919579402055
GRK,31.0616542,-97.8206033626794
GSP,34.8954456,-82.21722845651891
LAN,42.77810185,-84.58586488928434
HVN,41.2626111,-72.88563547283547
HIB,47.38500865,-92.83874877590284
MKG,43.1703365,-86.2370531
VEL,40.43530255,-109.51160721388278
HLN,46.6063969,-111.98274447010309
CDV,60.49175165,-145.4738853571373
SCE,40.85032355,-77.84866392425685
BKG,36.527800049999996,-93.19781657947979
ALO,42.557709700000004,-92.3940615771661
INL,48.5661049,-93.40407638044815
SPN,15.12049075,145.72962519467052
MEI,32.32774155,-88.7525782827135
TUL,36.2010229,-95.88681347118576
RIC,37.5073698,-77.3336845
USA,42.3743325,-71.0302794
LCH,30.122422049999997,-93.22206256339959
BZN,45.78359005,-111.15697962783483
PHL,39.875018,-75.23521278969667
ELP,31.809584,-106.36659802997961
BMI,40.4733557,-88.91480264613926
PGD,26.9194137,-81.99302810312291
MFE,26.17627985,-98.23960548288598
LBE,40.2729348,-79.40641957179801
MAF,31.946026099999997,-102.21061868215736
BIS,46.7732585,-100.74716366621541
IMT,45.8213995,-88.11311416188468
TVC,44.74176785,-85.58029710048527
GCK,37.929671150000004,-100.72643189287152
SAV,32.12423765,-81.19770644774445
DCA,38.851289449999996,-77.03968893913375
FLG,35.140398250000004,-111.67020441781051
TYS,35.809552999999994,-83.99887165077078
JAN,32.312110399999995,-90.07677829423244
LNK,40.84731465,-96.75744255958236
EWR,40.68906405,-74.17725485035348
GCC,44.34685815,-105.53792618090927
SPS,33.9854326,-98.4926831
CWA,44.7727172,-89.66716494412262
JMS,46.9276783,-98.67813530703911
APN,45.07879025,-83.5599967583827
SNA,33.67420559999999,-117.8680242970166
PLN,45.56926645,-84.79695030499335
HNL,21.32040435,-157.9173135198164
IAG,43.107266249999995,-78.95234982250545
DHN,31.32003875,-85.44995912385775
RNO,39.498646199999996,-119.77333186086474
MEM,35.04625645,-89.97689466513185
JNU,58.3566191,-134.58019300175383
SMX,34.8994719,-120.45551617973354
CLL,30.58822845,-96.3641116417029
ALS,35.8210781,-77.3790233
DAL,32.84524055,-96.84732187569065
GTR,33.4502,-88.5903986
ELM,42.16082385,-76.8941293224737
ILG,39.6796715,-75.60763354194484
EUG,44.124162749999996,-123.214917964354
MOT,48.25794645,-101.27700504346882
ERI,42.084710349999995,-80.17447235134125
GTF,47.4800263,-111.37557897482165
BHM,33.56350085,-86.75151606755506
SWF,41.5020532,-74.12120288016584
UIN,39.9447505,-91.19378941785472
ORH,42.2686095,-71.87306398339443
EWN,35.070979949999995,-77.039500540912
LAW,34.569849500000004,-98.41812229900623
DDC,37.7611827,-99.9657378
PBI,26.6859478,-80.09248650717163
FSD,43.58273465,-96.74120311335915
MDW,41.7854316,-87.75084869357148
LAS,36.0861034,-115.1611197919236
YAK,59.500813550000004,-139.64408083356284
CHO,38.1410243,-78.4524597285056
AUS,30.19348925,-97.66500963529677
BOI,43.55988165,-116.20782253098173
PPG,-14.3347658,-170.71596862723766
LAR,41.3134545,-105.6728653935462
EAT,47.39918335,-120.2056902534639
ROC,43.1161699,-77.67269338979611
DEC,39.83349835,-88.86199100508733
FAY,34.9921371,-78.88416820521829
PIB,31.4672,-89.3363366
ORF,36.8946697,-76.20229629965002
MCW,43.16076005,-93.32773199760902
ART,43.9896298,-76.02236707148876
SCK,37.8943699,-121.24363455870524
DEN,39.8606676,-104.68536732610298
MGM,32.2962424,-86.39041851362114
OWB,37.73827615,-87.164491564207
PUB,38.298446850000005,-104.50330795944865
EYW,24.5554773,-81.75961603475078
CHA,35.032383550000006,-85.20167788785842
LCK,39.8132172,-82.934199729754
GGG,32.38381895,-94.71366357672933
HYA,41.6707658,-70.28439042526892
MTJ,38.5118206,-107.89248795618495
MLB,28.1027201,-80.64815801235798
JAX,30.49375,-81.69303816083792
SBN,41.7091043,-86.32325340867524
YKM,46.566810149999995,-120.53679819122016
BUF,42.9402016,-78.73075229745353
PNS,30.4725975,-87.18808592919096
JLN,37.15928825,-94.50090287254326
TOL,-4.98093375,152.01007939285967
SGU,37.0342442,-113.50901654550276
CDC,37.7025428,-113.09910221511782
JST,40.31459165,-78.83353249226279
RKS,41.59507585,-109.06842143015916
PIE,27.90994325,-82.68769326031256
GNV,29.69230675,-82.27600055013724
OME,64.5124643,-165.45601519838755
OKC,35.3848053,-97.60534425082406
BTV,44.472896500000004,-73.15146136645569
BTR,30.5319743,-91.15042415051039
ITH,42.491802050000004,-76.46069464880836
PAE,47.9088268,-122.27943020482658
BFM,30.6267668,-88.07030124023397
ABY,31.5339678,-84.19254493414799
CAE,33.93886305,-81.1139715103596
CNY,38.768988699999994,-109.75079743909725
ACT,31.612728500000003,-97.22484008866283
CRP,27.7702374,-97.50657535472868
COS,38.8004299,-104.70327708699932
TXK,33.45252615,-93.99025019420412
BWI,39.1828341,-76.6698273
SYR,43.1141752,-76.11914451143608
HRL,26.23004735,-97.65370800918154
CYS,41.1562943,-104.80882461926535
RDU,35.880361449999995,-78.78723821716514
ISP,40.79580915,-73.09920085803961
BGR,44.8072619,-68.81941486105113
HSV,34.63699305,-86.76383388377238
SWO,36.16188335,-97.08746806534933
FAI,64.8144321,-147.85859129653232
EAU,44.8689683,-91.4855007489738
FOD,42.55024315,-94.1932797730044
ATL,33.63779875,-84.42927118585675
BLI,48.79368955,-122.53595690761102
SHR,44.766581200000005,-106.97763854644202
EGE,39.6425635,-106.917134720113
IAD,38.95226625,-77.4534849116007
MSP,44.878019050000006,-93.2209280537696
ATY,44.912617499999996,-97.14845996679145
MMH,37.6254888,-118.84175088877444
SMF,38.687223450000005,-121.590370139436
YUM,32.64851395,-114.60772586873736
AVP,41.33709205,-75.72257122928625
ABE,40.651163100000005,-75.44225386838299
FCA,48.3108042,-114.25569373421675
CRW,38.37294755,-81.5942197333228
GRI,40.970514949999995,-98.30753671710008
GUC,38.5323609,-106.93982729134346
LFT,30.203161700000003,-91.98991065628175
OTZ,66.8836843,-162.61074661016386
BIL,45.809234849999996,-108.54767517885944
CSG,32.51660405,-84.94200790181375
LBB,33.66525745,-101.82668866739934
PIR,44.37841305,-100.28256187290475
SEA,47.4475673,-122.3080158569515
ANC,61.18103525,-149.99789189730433
BRD,46.40507465,-94.12827992568421
LSE,43.878607,-91.25557153542314
HPN,41.0680174,-73.70833333823488
DAB,29.181643899999997,-81.05426943154424
CDB,55.2014611,-162.7198441
RIW,43.0655193,-108.460459
ROA,37.32442625,-79.97679739235411
FLL,26.072017000000002,-80.15099673135214
BOS,42.36317665,-71.01364006269452
BDL,41.9405835,-72.68501994264602
VLD,30.77831025,-83.2780341085929
ALW,46.094085699999994,-118.29121921165813
SRQ,27.395988350000003,-82.55407423064528
MCO,28.412903550000003,-81.30944309752753
ACY,39.45708535,-74.57027649092205
HHH,32.2251885,-80.69690308387322
KOA,19.743906,-156.0422959812206
HOU,29.64714905,-95.27693031319956
PUW,46.740603300000004,-117.11739258382906
BRW,71.28622155,-156.7745707671087
PIH,42.9074805,-112.5928392860736
LAX,33.94216754999999,-118.42135906141587
STT,18.33476905,-64.9724536459818
GEG,47.620044050000004,-117.54236665513882
TRI,36.47344765,-82.40843268699096
IPT,41.24135285,-76.91980562932577
CKB,39.29950215,-80.22843231317773
BNA,36.11958985,-86.68308703291842
TTN,40.276411949999996,-74.81321108368704
CVG,39.049907149999996,-84.66516172504984
HTS,38.36796505,-82.55960211897741
SBP,35.237491399999996,-120.64331992943252
BFL,35.4364902,-119.05888379788185
MDT,40.193209800000005,-76.75294587287746
XNA,36.27981,-94.30259016595679
LBL,37.044962049999995,-100.95866713745428
MQT,46.349652,-87.3871745
XWA,48.260548400000005,-103.74677072876773
MHK,39.13875695,-96.66961330206684
PHF,37.132296499999995,-76.49401292414504
MSY,29.99420015,-90.26430439366972
PVD,41.72243995,-71.42858821974949
SJC,37.3633299,-121.9293365260259
CMX,47.16827015,-88.48651130231423
FLO,34.185128950000006,-79.7253999100574
RSW,26.53294975,-81.75880562612211
GRB,44.47848805,-88.14362007159838
MCI,39.3023103,-94.72118991743454
PDX,45.587132600000004,-122.59277984939183
AZA,33.30591455,-111.6526441150196
BET,60.7789171,-161.83811516174447
TYR,32.351909649999996,-95.40208756061571
STX,17.69997805,-64.8059208987329
DTW,42.205699100000004,-83.35297537621658
IAH,29.9841416,-95.33298595614491
LRD,27.547214750000002,-99.46147398713819
KTN,55.353764749999996,-131.7083563288072
RAP,44.0448069,-103.06068012445681
FAR,46.9208925,-96.81448802996968
LGB,33.815565899999996,-118.15342922166721
PRC,22.3160874,113.93647839996052
RFD,42.1966203,-89.10185948684004
ONT,34.05414245,-117.59915769373036
MKE,42.946542300000004,-87.89725778714413
MLU,32.5111077,-92.0384615
FAT,36.776006,-119.71974456209355
MSN,43.1420815,-89.33774533660622
IDA,43.5151828,-112.06610949957255
OGG,20.89569785,-156.43404764122727
PBG,44.651686600000005,-73.4643666977021
CHS,32.89929845,-80.03946503050427
SLN,38.792754099999996,-97.65486608260173
LBF,41.128020750000005,-100.68862442361578
MYR,33.680640600000004,-78.92905970872894
GUM,13.486490199999999,144.80206025352555
OAK,37.72225915,-122.21701661553246
PIA,-27.1891033,116.2846248
ROW,33.3006936,-104.5316574
CAK,40.9152061,-81.43992419328089
EKO,40.82550195,-115.78801112941872
LIT,34.7311092,-92.22457817801748
PIT,40.49178275,-80.23702448873742
CLT,35.21074145,-80.9457435226013
FWA,40.9798288,-85.18791163159256
MIA,25.7949789,-80.28672341095405
PSM,43.07902105,-70.81867768406231
ADK,51.875908300000006,-176.65039727374275
ASE,39.22142085,-106.86734117631343
BFF,41.87685875,-103.59491845572903
GRR,42.876610299999996,-85.53629091575618
PAH,37.0596,-88.773
BQN,18.49346055,-67.13421586611547
HDN,40.4844693,-107.220936
CPR,42.9054165,-106.46452637926663
LGA,40.7757145,-73.87336398511545
SCC,70.19515995,-148.46482215877188
BQK,31.259811,-81.4639706620112
DFW,32.89651945,-97.0465220537124
EVV,38.04188775,-87.5296839642167
VCT,28.8540778,-96.91812068031307
PWM,43.6461776,-70.31441197345607
RST,43.904309749999996,-92.49544412529157
LEX,38.03480425,-84.60492174770525
RDD,40.51108035,-122.29610904753642
SUN,43.50392605,-114.29715419952583
MOB,30.69214065,-88.24115749066226
ACK,41.255823899999996,-70.05803775405849
ICT,37.649253,-97.43226330309298
DAY,39.905318699999995,-84.22024542480268
MBS,43.535796149999996,-84.08284956680652
GST,58.423770649999994,-135.70631132484405
HOB,32.68632,-103.2142949424367
SLC,40.790066100000004,-111.97989846185591
ITO,19.718830599999997,-155.04755391447696
DSM,41.534549299999995,-93.65923944589736
PSP,33.83033915,-116.50964534531111
PVU,40.2192141,-111.72057376868501
SHD,38.26252605,-78.89996407081242
ALB,42.748015949999996,-73.79855563763934
ECP,30.35993085,-85.80404564346239
DLH,46.84188665,-92.20297537585256
CID,41.8853041,-91.71472418319803
HYS,38.8454764,-99.2730373
COD,44.520751950000005,-109.02185342965336
SJU,18.44319945,-65.99743036847468
LYH,37.322173199999995,-79.20660297004885
PSC,46.2635986,-119.11890151151918
TWF,42.4817,-114.4877
RHI,45.6314535,-89.47897405074303
BRO,25.905718,-97.42552922504089
AZO,42.2307865,-85.5510419237961
SUX,42.4036084,-96.3836488
SBA,34.42738475,-119.8431372767175
SHV,32.4451121,-93.82673715989384
BGM,42.2106484,-75.9815509339948
PGV,35.63797635,-77.38001839674764
WYS,44.6889409,-111.11688394311122
GFK,47.9518219,-97.17447065299604
TUS,32.11264765,-110.93463764537913
TLH,30.39782605,-84.35908394368526
FSM,35.3392525,-94.35697826263008
STL,38.74962725,-90.37047024952082
WRG,56.4839528,-132.36889739256793
OTH,43.41549325,-124.2434654166912
MFR,42.3727441,-122.87343834417277
TPA,27.9791649,-82.5349276153517
GJT,39.123415800000004,-108.52444920306618
SPI,39.843686149999996,-89.67956594615978
BUR,34.20317265,-118.35917824388531
SGF,37.24298375,-93.3889140611615
GSO,36.1020574,-79.94459695357142
OGS,44.681759,-75.4768
BLV,38.5461016,-89.8199744606753
ADQ,57.7535941,-152.5136697
IND,39.7162533,-86.29508388539975
MRY,36.58705795,-121.84193978436595
RDM,44.25408195,-121.14906868928065
BTM,45.95485055,-112.49659530324134
CMI,40.0383172,-88.27156684832212
JFK,40.642947899999996,-73.7793733748521
ABI,61.62916165,-149.04695424399455
STC,45.547220800000005,-94.05849341171489
DBQ,42.401323399999995,-90.70588999381172
OAJ,34.82679245,-77.61493390946566
SDF,38.1716962,-85.73540756381095
SAN,32.73336075,-117.19224641277626
PHX,33.43284865,-112.00679145657891
ORD,41.9780813,-87.90918176930403
ILM,34.27353635,-77.90953507173883
ABQ,35.037669449999996,-106.61096752176844
FNT,42.9607553,-83.74563177999201
OMA,41.3011252,-95.88987091468039
COU,38.8168307,-92.2198931
MLI,41.44772135,-90.51146650735623
LIH,21.97206585,-159.33671538390365
DVL,48.1138202,-98.9072037
SFO,37.622451999999996,-122.38398938548363
ESC,45.72455915,-87.08899328344751
SFB,28.7754331,-81.24329602986423
DRO,37.15284235,-107.7586059173994
PSE,18.008885999999997,-66.5633497464292
AVL,35.4364233,-82.54088095049624
ISN,,
MHT,42.93066555,-71.43882646608829
